"","scenario","age","v.eff","icer","High","Non-high","All"
"1","vax70","0-4 yrs","10","icer.case.averted",1313.848,85.83691,164.4296
"2","vax70","5-19 yrs","10","icer.case.averted",2863.927,180.2199,351.9771
"3","vax70","20-64 yrs","10","icer.case.averted",2063.6,103.9225,386.116
"4","vax70","65+ yrs","10","icer.case.averted",5149.016,765.0885,3009.66
"5","vax70","All","10","icer.case.averted",2707.971,141.184,501.0614
"6","vax70","0-4 yrs","10","icer.daly.averted",2603.88,7474.378,3820.226
"7","vax70","5-19 yrs","10","icer.daly.averted",6494.204,17759.63,9330.893
"8","vax70","20-64 yrs","10","icer.daly.averted",4099.287,8149.456,4629.353
"9","vax70","65+ yrs","10","icer.daly.averted",13644.24,15177.1,13817.36
"10","vax70","All","10","icer.daly.averted",5722.205,10756.41,6453.993
"11","vax70","0-4 yrs","10","icer.death.averted",201934.9,632372.8,302564.3
"12","vax70","5-19 yrs","10","icer.death.averted",439335.4,1326659,646598.2
"13","vax70","20-64 yrs","10","icer.death.averted",159772.8,343347.7,182218.8
"14","vax70","65+ yrs","10","icer.death.averted",195618.8,221332.6,198479.3
"15","vax70","All","10","icer.death.averted",185433.3,411443.8,213898.5
"16","vax70","0-4 yrs","20","icer.case.averted",1418.782,190.7706,269.3634
"17","vax70","5-19 yrs","20","icer.case.averted",2941.899,258.1921,429.9493
"18","vax70","20-64 yrs","20","icer.case.averted",2226.497,266.8194,549.0129
"19","vax70","65+ yrs","20","icer.case.averted",5204.303,820.3753,3064.946
"20","vax70","All","20","icer.case.averted",2842.887,275.6265,629.6011
"21","vax70","0-4 yrs","20","icer.daly.averted",2811.916,16611.43,6258.27
"22","vax70","5-19 yrs","20","icer.daly.averted",6671.027,25443.58,11397.91
"23","vax70","20-64 yrs","20","icer.daly.averted",4422.88,20923.54,6582.418
"24","vax70","65+ yrs","20","icer.daly.averted",13790.7,16274.36,14071.19
"25","vax70","All","20","icer.daly.averted",6013.868,21152.16,8239.459
"26","vax70","0-4 yrs","20","icer.death.averted",218062.9,1405435,495651.1
"27","vax70","5-19 yrs","20","icer.death.averted",451296.6,1900639,789836.7
"28","vax70","20-64 yrs","20","icer.death.averted",172385,881540.2,259094.3
"29","vax70","65+ yrs","20","icer.death.averted",197719.2,237326.5,202125.4
"30","vax70","All","20","icer.death.averted",196123.5,819231.9,275092.9
