scenario,age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
vaxbase,0-4 yrs,60,High,14310.91,na,na,na,na,na,1420.00,na,na,na,na,218250.20,na,na,na,na,2814.36
vaxbase,0-4 yrs,60,Non-high,209297.09,na,na,na,na,na,191.99,na,na,na,na,1414412.00,na,na,na,na,16717.13
vaxbase,0-4 yrs,60,All,223608,na,na,na,na,na,270.58,na,na,na,na,497893.31,na,na,na,na,6286.59
vaxbase,5-19 yrs,60,High,40938.3,na,na,na,na,na,2962.85,na,na,na,na,454511.20,na,na,na,na,6718.53
vaxbase,5-19 yrs,60,Non-high,598722.7,na,na,na,na,na,279.15,na,na,na,na,2054897.00,na,na,na,na,27508.48
vaxbase,5-19 yrs,60,All,639661,na,na,na,na,na,450.90,na,na,na,na,828332.40,na,na,na,na,11953.34
vaxbase,20-64 yrs,60,High,321847.06,na,na,na,na,na,2325.11,na,na,na,na,180019.90,na,na,na,na,4618.77
vaxbase,20-64 yrs,60,Non-high,1913201.94,na,na,na,na,na,365.43,na,na,na,na,1207339.00,na,na,na,na,28656.43
vaxbase,20-64 yrs,60,All,2235049,na,na,na,na,na,647.62,na,na,na,na,305631.46,na,na,na,na,7764.71
vaxbase,65+ yrs,60,High,157981.7,na,na,na,na,na,5067.41,na,na,na,na,192518.40,na,na,na,na,13427.92
vaxbase,65+ yrs,60,Non-high,150576.3,na,na,na,na,na,683.48,na,na,na,na,197724.40,na,na,na,na,13558.52
vaxbase,65+ yrs,60,All,308558,na,na,na,na,na,2928.05,na,na,na,na,193097.56,na,na,na,na,13442.67
vaxbase,All,60,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vaxbase,All,60,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vaxbase,All,60,All,3406876,na,na,na,na,na,664.59,na,na,na,na,319780.13,na,na,na,na,9426.00
vaxbase,0-4 yrs,50,High,14310.91,na,na,na,na,na,1359.83,na,na,na,na,209001.60,na,na,na,na,2695.13
vaxbase,0-4 yrs,50,Non-high,209297.09,na,na,na,na,na,131.82,na,na,na,na,971102.40,na,na,na,na,11477.36
vaxbase,0-4 yrs,50,All,223608,na,na,na,na,na,210.41,na,na,na,na,387168.37,na,na,na,na,4888.55
vaxbase,5-19 yrs,50,High,40938.3,na,na,na,na,na,2934.30,na,na,na,na,450131.50,na,na,na,na,6653.77
vaxbase,5-19 yrs,50,Non-high,598722.7,na,na,na,na,na,250.60,na,na,na,na,1844731.00,na,na,na,na,24694.91
vaxbase,5-19 yrs,50,All,639661,na,na,na,na,na,422.35,na,na,na,na,775884.59,na,na,na,na,11196.45
vaxbase,20-64 yrs,50,High,321847.06,na,na,na,na,na,2282.37,na,na,na,na,176710.60,na,na,na,na,4533.86
vaxbase,20-64 yrs,50,Non-high,1913201.94,na,na,na,na,na,322.69,na,na,na,na,1066123.00,na,na,na,na,25304.64
vaxbase,20-64 yrs,50,All,2235049,na,na,na,na,na,604.88,na,na,na,na,285460.20,na,na,na,na,7252.25
vaxbase,65+ yrs,50,High,157981.7,na,na,na,na,na,4950.89,na,na,na,na,188091.70,na,na,na,na,13119.15
vaxbase,65+ yrs,50,Non-high,150576.3,na,na,na,na,na,566.96,na,na,na,na,164016.70,na,na,na,na,11247.05
vaxbase,65+ yrs,50,All,308558,na,na,na,na,na,2811.53,na,na,na,na,185413.41,na,na,na,na,12907.72
vaxbase,All,50,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vaxbase,All,50,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vaxbase,All,50,All,3406876,na,na,na,na,na,625.97,na,na,na,na,297551.68,na,na,na,na,8814.64
vaxbase,0-4 yrs,40,High,14310.91,1649841,1241.004,8671.732451,1222.19,8540.2663,1349.91,8.074,56.41848682,7.95193,55.566,207476.80,626.1414,4375.272541,616.6802,4309.16,2675.36
vaxbase,0-4 yrs,40,Non-high,209297.09,2178804,18149.68,8671.730779,17874.53,8540.2669,121.89,2.464,1.177273905,2.42625,1.159,898012.90,208.4655,99.6026642,205.2552,98.07,10615.10
vaxbase,0-4 yrs,40,All,223608,3828645,19390.684,8671.730886,19096.72,8540.267,200.49,10.538,4.712711531,10.37818,4.64,368912.91,834.6069,373.2455363,821.9354,367.58,4658.09
vaxbase,5-19 yrs,40,High,40938.3,23883781,8789.722,21470.65496,8146.534,19899.5396,2931.77,57.298,139.9618313,53.10539,129.721,449743.10,3876.2121,9468.42368,3592.623,8775.7,6648.01
vaxbase,5-19 yrs,40,Non-high,598722.7,29555213,128549.7,21470.65759,119143.1,19899.5463,248.06,17.463,2.916709207,16.18497,2.703,1826090.00,1304.4847,217.8779358,1209.0192,201.93,24445.61
vaxbase,5-19 yrs,40,All,639661,53438994,137339.422,21470.65743,127289.634,19899.546,419.82,74.761,11.68759702,69.29036,10.83,771232.74,5180.6967,809.9128634,4801.6422,750.65,11129.32
vaxbase,20-64 yrs,40,High,321847.06,58227765,26168.07,8130.591693,25581.26,7948.266,2276.19,337.983,105.0135441,330.4033,102.658,176232.40,13173.1332,4092.979252,12877.6973,4001.19,4521.60
vaxbase,20-64 yrs,40,Non-high,1913201.94,48130676,155554.6,8130.58969,152066.4,7948.2671,316.54,47.082,2.460900698,46.02656,2.406,1045715.00,1983.635,103.6814246,1939.1837,101.36,24820.07
vaxbase,20-64 yrs,40,All,2235049,106358441,181722.67,8130.589978,177647.66,7948.267,598.70,385.065,17.22848134,376.42986,16.84,282545.18,15156.7683,678.1403118,14816.881,662.93,7178.19
vaxbase,65+ yrs,40,High,157981.7,42918842,8777.236,5555.856294,8699.515,5506.6601,4933.48,231.032,146.2397264,228.9859,144.945,187430.10,3312.3425,2096.662,3283.0086,2078.0943,13073.02
vaxbase,65+ yrs,40,Non-high,150576.3,4556697,8365.804,5555.856916,8291.725,5506.6599,549.55,28.918,19.204881,28.66231,19.035,158978.70,421.7098,280.064,417.9909,277.5941,10901.43
vaxbase,65+ yrs,40,All,308558,47475539,17143.04,5555.856597,16991.24,5506.66,2794.12,259.95,84.24672185,257.64821,83.5,184264.97,3734.0523,1210.1622,3700.9995,1199.450194,12827.76
vaxbase,All,40,High,535077.97,126680229,44976.032,8405.50998,43649.499,8157.596,2902.21,634.387,118.5597311,620.44652,115.9544136,204175.90,20987.8292,3922.387102,20370.0091,3806.923536,6218.96
vaxbase,All,40,Non-high,2871798.03,84421390,310619.784,10816.21272,297375.755,10355.03722,283.89,95.927,3.340311503,93.30009,3.248838845,904837.18,3918.295,136.4404793,3771.449,131.327097,22384.34
vaxbase,All,40,All,3406876,211101619,355595.816,10437.59198,341025.158,10009.911,619.02,730.314,21.43647142,713.74661,20.95,295765.49,24906.1242,731.0546143,24141.4581,708.6098261,8744.36
vaxbase,0-4 yrs,30,High,14310.91,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,0-4 yrs,30,All,223608,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,5-19 yrs,30,High,40938.3,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,5-19 yrs,30,All,639661,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,20-64 yrs,30,High,321847.06,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,20-64 yrs,30,All,2235049,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,65+ yrs,30,High,157981.7,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,65+ yrs,30,Non-high,150576.3,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,65+ yrs,30,All,308558,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vaxbase,All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vaxbase,All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vaxbase,All,30,All,3406876,na,na,na,na,na,0.00,na,na,na,na,0.00,na,na,na,na,0.00
vax6667,0-4 yrs,30,High,14310.91,na,na,na,na,na,1305.73,na,na,na,na,200686.90,na,na,na,na,2587.92
vax6667,0-4 yrs,30,Non-high,209297.09,na,na,na,na,na,77.72,na,na,na,na,572552.30,na,na,na,na,6766.89
vax6667,0-4 yrs,30,All,223608,na,na,na,na,na,156.31,na,na,na,na,287622.98,na,na,na,na,3631.66
vax6667,5-19 yrs,30,High,40938.3,na,na,na,na,na,2911.73,na,na,na,na,446668.80,na,na,na,na,6602.58
vax6667,5-19 yrs,30,Non-high,598722.7,na,na,na,na,na,228.02,na,na,na,na,1678565.00,na,na,na,na,22470.46
vax6667,5-19 yrs,30,All,639661,na,na,na,na,na,399.78,na,na,na,na,734417.55,na,na,na,na,10598.04
vax6667,20-64 yrs,30,High,321847.06,na,na,na,na,na,2165.69,na,na,na,na,167677.40,na,na,na,na,4302.10
vax6667,20-64 yrs,30,Non-high,1913201.94,na,na,na,na,na,206.02,na,na,na,na,680656.10,na,na,na,na,16155.50
vax6667,20-64 yrs,30,All,2235049,na,na,na,na,na,488.21,na,na,na,na,230399.98,na,na,na,na,5853.42
vax6667,65+ yrs,30,High,157981.7,na,na,na,na,na,4876.78,na,na,na,na,185276.10,na,na,na,na,12922.77
vax6667,65+ yrs,30,Non-high,150576.3,na,na,na,na,na,492.85,na,na,na,na,142577.20,na,na,na,na,9776.87
vax6667,65+ yrs,30,All,308558,na,na,na,na,na,2737.42,na,na,na,na,180526.02,na,na,na,na,12567.47
vax6667,All,30,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,30,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
vax6667,All,30,All,3406876,na,na,na,na,na,550.51,na,na,na,na,261118.06,na,na,na,na,7744.85
vax6667,0-4 yrs,40,High,14310.91,na,na,na,na,na,1400.44,na,na,na,na,215244.40,na,na,na,na,2775.60
vax6667,0-4 yrs,40,Non-high,209297.09,na,na,na,na,na,172.43,na,na,na,na,1270335.00,na,na,na,na,15014.25
vax6667,0-4 yrs,40,All,223608,na,na,na,na,na,251.03,na,na,na,na,461907.29,na,na,na,na,5832.22
vax6667,5-19 yrs,40,High,40938.3,na,na,na,na,na,2954.35,na,na,na,na,453207.20,na,na,na,na,6699.26
vax6667,5-19 yrs,40,Non-high,598722.7,na,na,na,na,na,270.65,na,na,na,na,1992323.00,na,na,na,na,26670.80
vax6667,5-19 yrs,40,All,639661,na,na,na,na,na,442.40,na,na,na,na,812716.69,na,na,na,na,11728.00
vax6667,20-64 yrs,40,High,321847.06,na,na,na,na,na,2265.90,na,na,na,na,175435.80,na,na,na,na,4501.15
vax6667,20-64 yrs,40,Non-high,1913201.94,na,na,na,na,na,306.22,na,na,na,na,1011723.00,na,na,na,na,24013.46
vax6667,20-64 yrs,40,All,2235049,na,na,na,na,na,588.42,na,na,na,na,277689.67,na,na,na,na,7054.84
vax6667,65+ yrs,40,High,157981.7,na,na,na,na,na,5042.39,na,na,na,na,191567.80,na,na,na,na,13361.61
vax6667,65+ yrs,40,Non-high,150576.3,na,na,na,na,na,658.46,na,na,na,na,190485.90,na,na,na,na,13062.16
