age,v.eff,risk,pop.size,cost.diff,cases,cases.per100k,cases.averted,cases.averted.per100k,icer.case.averted,deaths,deaths.per100k,deaths.averted,deaths.averted.per100k,icer.death.averted,dalys,dalys.per100k,dalys.averted,dalys.averted.per100k,icer.daly.averted
0-4 yrs,60,High,14310.91,na,na,na,na,na,"$1,420.00 ",na,na,na,na,"$218,250.20 ",na,na,na,na,"$2,814.36 "
0-4 yrs,60,Non-high,209297.09,na,na,na,na,na,$191.99 ,na,na,na,na,"$1,414,412.00 ",na,na,na,na,"$16,717.13 "
0-4 yrs,60,All,223608,na,na,na,na,na,$270.58 ,na,na,na,na,"$497,893.31 ",na,na,na,na,"$6,286.59 "
5-19 yrs,60,High,40938.3,na,na,na,na,na,"$2,962.85 ",na,na,na,na,"$454,511.20 ",na,na,na,na,"$6,718.53 "
5-19 yrs,60,Non-high,598722.7,na,na,na,na,na,$279.15 ,na,na,na,na,"$2,054,897.00 ",na,na,na,na,"$27,508.48 "
5-19 yrs,60,All,639661,na,na,na,na,na,$450.90 ,na,na,na,na,"$828,332.40 ",na,na,na,na,"$11,953.34 "
20-64 yrs,60,High,321847.06,na,na,na,na,na,"$2,325.11 ",na,na,na,na,"$180,019.90 ",na,na,na,na,"$4,618.77 "
20-64 yrs,60,Non-high,1913201.94,na,na,na,na,na,$365.43 ,na,na,na,na,"$1,207,339.00 ",na,na,na,na,"$28,656.43 "
20-64 yrs,60,All,2235049,na,na,na,na,na,$647.62 ,na,na,na,na,"$305,631.46 ",na,na,na,na,"$7,764.71 "
65+ yrs,60,High,157981.7,na,na,na,na,na,"$5,067.41 ",na,na,na,na,"$192,518.40 ",na,na,na,na,"$13,427.92 "
65+ yrs,60,Non-high,150576.3,na,na,na,na,na,$683.48 ,na,na,na,na,"$197,724.40 ",na,na,na,na,"$13,558.52 "
65+ yrs,60,All,308558,na,na,na,na,na,"$2,928.05 ",na,na,na,na,"$193,097.56 ",na,na,na,na,"$13,442.67 "
All,60,High,535077.97,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,60,Non-high,2871798.03,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All,60,All,3406876,na,na,na,na,na,$664.59 ,na,na,na,na,"$319,780.13 ",na,na,na,na,"$9,426.00 "
