"","scenario","age","v.eff","metric","High","Non-high","All"
"1","vax70","0-4 yrs","10","cases.per100k",25524.08,25524.08,25524.08
"2","vax70","5-19 yrs","10","cases.per100k",53760.39,53760.38,53760.38
"3","vax70","20-64 yrs","10","cases.per100k",23676.19,23676.19,23676.19
"4","vax70","65+ yrs","10","cases.per100k",16838.77,16838.77,16838.77
"5","vax70","All","10","cases.per100k",24008.58,29724.42,28826.7
"6","vax70","0-4 yrs","10","dalys.per100k",12878.57,293.12,1098.59
"7","vax70","5-19 yrs","10","dalys.per100k",23708.07,545.54,2027.94
"8","vax70","20-64 yrs","10","dalys.per100k",11918.69,301.92,1974.74
"9","vax70","65+ yrs","10","dalys.per100k",6354.58,848.83,3667.78
"10","vax70","All","10","dalys.per100k",11203.56,380.75,2080.56
"11","vax70","0-4 yrs","10","deaths.per100k",166.07,3.46,13.87
"12","vax70","5-19 yrs","10","deaths.per100k",350.45,7.3,29.26
"13","vax70","20-64 yrs","10","deaths.per100k",305.8,7.17,50.17
"14","vax70","65+ yrs","10","deaths.per100k",443.22,58.21,255.34
"15","vax70","All","10","deaths.per100k",346.05,9.6,62.44
"16","vax70","0-4 yrs","20","cases.per100k",17814.52,17814.51,17814.51
"17","vax70","5-19 yrs","20","cases.per100k",40475.67,40475.67,40475.66
"18","vax70","20-64 yrs","20","cases.per100k",16636.28,16636.28,16636.28
"19","vax70","65+ yrs","20","cases.per100k",11636.63,11636.63,11636.63
"20","vax70","All","20","cases.per100k",17015.58,21430.13,20736.78
"21","vax70","0-4 yrs","20","dalys.per100k",8988.59,204.59,766.76
"22","vax70","5-19 yrs","20","dalys.per100k",17849.57,410.73,1526.82
"23","vax70","20-64 yrs","20","dalys.per100k",8374.77,212.15,1387.57
"24","vax70","65+ yrs","20","dalys.per100k",4391.41,586.6,2534.66
"25","vax70","All","20","dalys.per100k",7940.01,272.63,1476.86
"26","vax70","0-4 yrs","20","deaths.per100k",115.91,2.42,9.68
"27","vax70","5-19 yrs","20","deaths.per100k",263.85,5.5,22.03
"28","vax70","20-64 yrs","20","deaths.per100k",214.87,5.04,35.25
"29","vax70","65+ yrs","20","deaths.per100k",306.3,40.22,176.45
"30","vax70","All","20","deaths.per100k",242.97,6.79,43.88
