"","scenario","age","v.eff","metric","High","Non-high","All"
"1","vaxbase","0-4 yrs","10","cases.per100k",28151.45,28151.44,28151.44
"2","vaxbase","5-19 yrs","10","cases.per100k",57611.67,57611.68,57611.67
"3","vaxbase","20-64 yrs","10","cases.per100k",26871.41,26871.41,26871.41
"4","vaxbase","65+ yrs","10","cases.per100k",18629.25,18629.25,18629.25
"5","vaxbase","All","10","cases.per100k",26824.05,32941.38,31980.59
"6","vaxbase","0-4 yrs","10","dalys.per100k",14204.25,323.3,1211.68
"7","vaxbase","5-19 yrs","10","dalys.per100k",25406.47,584.62,2173.22
"8","vaxbase","20-64 yrs","10","dalys.per100k",13527.17,342.67,2241.24
"9","vaxbase","65+ yrs","10","dalys.per100k",7030.27,939.09,4057.78
"10","vaxbase","All","10","dalys.per100k",12535.95,422.97,2325.41
"11","vaxbase","0-4 yrs","10","deaths.per100k",183.16,3.82,15.3
"12","vaxbase","5-19 yrs","10","deaths.per100k",375.56,7.83,31.36
"13","vaxbase","20-64 yrs","10","deaths.per100k",347.07,8.13,56.94
"14","vaxbase","65+ yrs","10","deaths.per100k",490.35,64.4,282.49
"15","vaxbase","All","10","deaths.per100k",387.17,10.71,69.83
"16","vaxbase","0-4 yrs","20","cases.per100k",23143.92,23143.91,23143.91
"17","vaxbase","5-19 yrs","20","cases.per100k",49076.76,49076.74,49076.75
"18","vaxbase","20-64 yrs","20","cases.per100k",22920.14,22920.14,22920.14
"19","vaxbase","65+ yrs","20","cases.per100k",15175.91,15175.91,15175.91
"20","vaxbase","All","20","cases.per100k",22640.87,27983.62,27144.5
"21","vaxbase","0-4 yrs","20","dalys.per100k",11677.62,265.79,996.15
"22","vaxbase","5-19 yrs","20","dalys.per100k",21642.61,498.01,1851.27
"23","vaxbase","20-64 yrs","20","dalys.per100k",11538.09,292.28,1911.68
"24","vaxbase","65+ yrs","20","dalys.per100k",5727.06,765.01,3305.58
"25","vaxbase","All","20","dalys.per100k",10599.2,358.03,1966.49
